cards,sum
SA1 SA1 HA1,3
HA1 SA1 HA1,3
HA1 SA1 HA1,3
HA1 HA1 DA1,3
CA1 CA1 HA1,3
SA1 CC2 HA1,4
HA1 CA1 SS2,4
HH2 DA1 SA1,4
DD2 HA1 CA1,4
HA1 HA1 SS2,4
SA1 DD2 DA1,4
DA1 CC2 DA1,4
SA1 HH2 DA1,4
CA1 CA1 HH2,4
SA1 HH2 HA1,4
CA1 DA1 CC2,4
SS2 DA1 DA1,4
SS2 HA1 CA1,4
CA1 DD2 HA1,4
SS2 DA1 HA1,4
CC3 DA1 CA1,5
SA1 CC3 DA1,5
SA1 SA1 CC3,5
HH3 CA1 CA1,5
DA1 SA1 SS3,5
CC2 SS2 HA1,5
DA1 CA1 SS3,5
DD3 DA1 DA1,5
CA1 HH2 HH2,5
SA1 CA1 HH3,5
CA1 HH3 CA1,5
SS2 SS2 CA1,5
CC3 CA1 HA1,5
SS3 CA1 SA1,5
DD2 DA1 CC2,5
HH2 SS2 CA1,5
SS2 SA1 SS2,5
DD2 SA1 HH2,5
HA1 HH2 HH2,5
HH2 DD2 HA1,5
HH3 DA1 SA1,5
SS2 SS3 HA1,6
HH2 CC3 HA1,6
SS3 SA1 SS2,6
DA1 CC2 HH3,6
HH2 DA1 SS3,6
SS4 DA1 DA1,6
HH2 SS3 HA1,6
HH2 CC3 DA1,6
CA1 HA1 SS4,6
CA1 CC2 DD3,6
HA1 SS3 DD2,6
SA1 HA1 DD4,6
DD3 SA1 DD2,6
CC4 DA1 DA1,6
SS3 CA1 DD2,6
CA1 SS4 SA1,6
CA1 SS3 CC2,6
DD2 HA1 CC3,6
DA1 DD2 SS3,6
HH3 HH2 DA1,6
HA1 SS4 CA1,6
CC2 SS2 HH2,6
CC3 SA1 CC2,6
SS2 DD2 DD2,6
DD2 SA1 HH3,6
CC3 SS2 SA1,6
HH4 CA1 DA1,6
HA1 CA1 CC4,6
DA1 SA1 DD4,6
SS3 HA1 HH2,6
DD2 HH2 CC2,6
HA1 HH4 CA1,6
SS2 SS2 SS2,6
HA1 CC4 HA1,6
HA1 HH2 CC3,6
SS4 DA1 HA1,6
SS3 DD2 HA1,6
DD3 HH2 DA1,6
DD3 DD2 DA1,6
SA1 DD4 CA1,6
CA1 DD5 DA1,7
DD2 HA1 SS4,7
DA1 SS3 SS3,7
HH2 SS2 HH3,7
HA1 HA1 DD5,7
DA1 HH5 SA1,7
CC2 HH2 CC3,7
SS4 HH2 DA1,7
CC3 SS3 DA1,7
DD4 SS2 DA1,7
SA1 DD5 DA1,7
HH2 HH2 HH3,7
DA1 SS5 DA1,7
DA1 DA1 SS5,7
CA1 SS5 SA1,7
CC4 SS2 DA1,7
SS2 DD4 CA1,7
DA1 CC4 CC2,7
DD3 SS3 SA1,7
SS3 SS2 SS2,7
HH2 SA1 DD4,7
SS5 CA1 HA1,7
CC2 HH2 SS3,7
SS4 DD2 SA1,7
CA1 SS4 DD2,7
SS3 DA1 CC3,7
DD4 DD2 SA1,7
DA1 SS2 DD4,7
SS2 SA1 HH4,7
SS2 DD3 SS2,7
DD3 SS3 DA1,7
SS3 SS2 HH2,7
CA1 HH4 CC2,7
HH2 CC3 CC2,7
SS3 CA1 CC3,7
SA1 SS2 SS4,7
HH5 SA1 DA1,7
HA1 HH2 CC4,7
CA1 HH2 CC4,7
DD4 CA1 HH2,7
CC3 CA1 HH3,7
DD2 HA1 DD4,7
HH2 HH2 DD3,7
SA1 DD3 CC3,7
HA1 CC4 SS2,7
CA1 CA1 HH5,7
HH5 DA1 CA1,7
DA1 HH3 CC4,8
HH2 HA1 HH5,8
HH2 HH2 DD4,8
DA1 SS6 HA1,8
CA1 DA1 SS6,8
CC4 CC3 CA1,8
DD3 SS4 DA1,8
SA1 DD4 HH3,8
HH4 DA1 DD3,8
DD2 DD3 HH3,8
CC2 DD4 HH2,8
HH4 SS3 CA1,8
DD2 DD3 DD3,8
DD2 DD4 SS2,8
CA1 CC4 SS3,8
DA1 CA1 SS6,8
DD4 SS2 DD2,8
SS2 CC2 HH4,8
CA1 HH6 CA1,8
SS3 SS4 HA1,8
HH2 SS5 HA1,8
